city,country,road_count,road_length_km,road_density,primary_roads,secondary_roads,residential_roads,tertiary_roads,intersection_count,intersection_density,avg_degree,connectivity_index,circuity,num_nodes,num_edges,poi_count,poi_diversity,poi_density,poi_types,poi_food,poi_education,poi_health,poi_retail,poi_finance,poi_transport,landuse_count,landuse_diversity,landuse_mix,landuse_types,residential_area,commercial_area,industrial_area,green_area,building_count,building_density,residential_buildings,commercial_buildings,industrial_buildings
Phnom Penh,Cambodia,54002,13295.9,8.3099,715,581,25883,1047,6593,4.1206,1.33,1.109,1.222,239832,265899,7910,3.798,4.9437,191,2463,224,688,375,502,149,1532,1.8969,0.5893,25,288,20,78,705,74466,46.5412,1830,24,262
Jakarta,Indonesia,356522,78646.6,49.1541,4861,4067,142061,8411,67619,42.2619,1.34,1.09,1.21,1442833,1572859,31259,3.3608,19.5369,268,4081,5036,2537,2360,3012,575,8571,2.376,0.6532,38,2716,880,628,1471,2297923,1436.2019,2010,1888,765
Surabaya,Indonesia,105044,24484.0,15.3025,117,2079,56398,2122,17318,10.8238,1.33,1.096,1.207,446846,489678,6746,3.1415,4.2162,186,914,1275,429,399,437,54,2050,2.148,0.6379,29,779,108,237,181,1110169,693.8556,62,198,81
Vientiane,Laos,32452,11091.45,6.9322,165,153,17693,441,3551,2.2194,1.22,1.06,1.225,209168,221797,4629,3.7748,2.8931,184,1380,250,227,295,369,26,1877,1.8702,0.581,25,504,30,64,988,23435,14.6469,29,32,76
Kuala Lumpur,Malaysia,222224,50393.5,31.4959,4130,7926,52272,11612,48882,30.5512,1.36,1.114,1.194,904641,1007537,29029,4.0326,18.1431,309,7503,594,1326,2834,1114,635,9884,2.1865,0.5927,40,3708,992,774,1153,541425,338.3906,3701,16264,16796
Yangon,Myanmar,47061,10656.3,6.6602,2142,1044,27398,597,7844,4.9025,1.45,1.184,1.185,180038,213123,12193,3.9099,7.6206,217,2561,547,932,891,938,240,2635,1.3362,0.401,28,1795,45,245,57,107151,66.9694,148,97,445
Manila,Philippines,1377,313.6,0.196,12,60,533,43,191,0.1194,1.27,1.043,1.257,6016,6272,395,3.6258,0.2469,76,54,27,18,32,31,49,107,2.0141,0.7437,15,43,7,9,15,10526,6.5788,11,17,30
Singapore,Singapore,1462,354.5,0.2216,150,31,221,29,398,0.2487,1.29,1.071,1.222,6619,7090,89,2.9491,0.0556,33,7,6,4,2,0,17,104,2.105,0.7773,15,27,4,5,36,640,0.4,107,1,21
Bangkok,Thailand,1623,422.85,0.2643,19,27,835,44,157,0.0981,1.23,1.031,1.284,8204,8457,154,3.4775,0.0963,52,35,8,3,8,7,14,137,2.009,0.7613,14,51,6,9,17,1635,1.0219,155,6,19
Hanoi,Vietnam,153573,38675.45,24.1722,3009,2331,64337,3519,24969,15.6056,1.34,1.116,1.215,692596,773169,15728,3.9238,9.83,242,3830,277,419,1479,1989,164,7578,2.4087,0.6775,35,1143,928,334,2544,173247,108.2794,288,111,395
